Host Total Listings Count,Neighbourhood,Neighbourhood Cleansed,Neighbourhood Group Cleansed,City,State,Zipcode,Market,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Square Feet,Price,Security Deposit,Cleaning Fee,Guests Included,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Cancellation Policy
3.0,,73,13,0,Comunidad de Madrid,28007,2,0,1,2,2.0,1.0,1.0,4,,28.0,,,1,1,1125,0,3,12,240,171,87.0,9.0,9.0,9.0,9.0,9.0,9.0,0
1.0,Recoletos,97,14,0,Comunidad de Madrid,28001,2,0,0,2,1.0,0.0,1.0,4,,58.0,100.0,,1,2,1125,4,9,9,15,52,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1
2.0,Recoletos,97,14,0,Comunidad de Madrid,28001,2,0,0,3,1.0,0.0,2.0,4,,70.0,150.0,30.0,2,2,1125,7,15,32,292,36,87.0,9.0,9.0,10.0,10.0,10.0,9.0,0
8.0,Recoletos,97,14,0,Comunidad de Madrid,28001,2,0,1,1,1.0,1.0,1.0,4,,26.0,,,1,7,1125,14,37,59,334,15,95.0,10.0,9.0,10.0,10.0,10.0,9.0,2
2.0,Recoletos,97,14,0,Comunidad de Madrid,28001,2,0,0,6,1.0,2.0,3.0,4,,70.0,,20.0,1,2,1125,0,0,0,52,0,,,,,,,,1
13.0,Recoletos,97,14,0,Comunidad de Madrid,28006,2,16,0,4,1.0,1.0,1.0,4,,108.0,,30.0,3,2,1125,8,33,50,325,11,91.0,9.0,9.0,9.0,10.0,10.0,9.0,2
45.0,Recoletos,97,14,0,Comunidad de Madrid,28001,2,0,0,6,2.5,3.0,3.0,4,,260.0,300.0,90.0,1,5,1125,4,4,4,191,10,98.0,9.0,10.0,10.0,10.0,10.0,10.0,2
1.0,,55,14,0,Community of Madrid,28001,2,0,0,3,1.0,1.0,1.0,4,,60.0,,,2,4,30,1,12,15,231,72,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0
1.0,Goya,55,14,0,Comunidad de Madrid,28009,2,0,0,2,1.0,1.0,1.0,4,,42.0,100.0,30.0,1,5,90,0,29,59,149,2,60.0,7.0,8.0,5.0,6.0,9.0,5.0,1
13.0,Goya,55,14,0,Comunidad de Madrid,28001,2,0,0,6,2.0,2.0,3.0,4,,160.0,250.0,49.0,4,2,1125,5,16,30,251,10,88.0,9.0,9.0,9.0,9.0,10.0,9.0,2
1.0,Goya,55,14,0,Comunidad de Madrid,28009,2,15,0,4,2.0,2.0,2.0,4,,185.0,500.0,60.0,3,3,1125,6,18,24,271,44,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2
17.0,Goya,55,14,0,Comunidad de Madrid,28009,2,0,0,5,1.0,3.0,5.0,4,,74.0,100.0,25.0,3,2,180,0,0,0,77,2,90.0,9.0,9.0,10.0,10.0,9.0,9.0,1
1.0,,55,14,0,Madrid,28001,2,14,0,2,1.0,1.0,1.0,4,,60.0,,,1,7,1125,5,11,41,316,11,95.0,9.0,10.0,10.0,9.0,10.0,10.0,0
1.0,,55,14,0,Comunidad de Madrid,28009,2,0,0,4,1.0,2.0,3.0,4,,99.0,,,1,2,1125,23,49,79,79,12,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1
3.0,Fuente del Berro,55,14,0,Comunidad de Madrid,28028,2,0,0,4,1.0,2.0,3.0,4,,80.0,250.0,,2,5,1125,1,4,13,71,16,96.0,10.0,10.0,10.0,10.0,10.0,10.0,2
28.0,Fuente del Berro,52,14,0,Comunidad de Madrid,28028,2,0,0,4,1.0,1.0,2.0,4,,85.0,,80.0,2,5,360,8,38,68,68,2,90.0,10.0,10.0,10.0,10.0,10.0,10.0,2
2.0,Fuente del Berro,52,14,0,Comunidad de Madrid,28028,2,0,1,2,1.0,1.0,1.0,4,,39.0,,8.0,1,2,1125,22,52,80,80,24,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1.0,,56,14,0,Comunidad de Madrid,28006,2,0,1,2,1.0,1.0,1.0,4,,18.0,,,1,2,7,3,6,25,25,3,93.0,9.0,10.0,10.0,10.0,10.0,9.0,0
1.0,,92,4,0,Comunidad de Madrid,28002,2,0,0,6,1.0,2.0,3.0,4,,70.0,85.0,22.0,4,2,1125,0,0,0,242,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1.0,,33,4,0,Comunidad de Madrid,28002,2,0,0,2,1.0,1.0,1.0,4,,65.0,200.0,10.0,1,2,6,0,27,48,48,14,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1
1.0,Ciudad Jardin,33,4,0,Comunidad de Madrid,28002,2,0,0,6,1.5,3.0,6.0,4,,120.0,,65.0,4,4,1125,0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0
1.0,Ciudad Jardin,33,4,0,Comunidad de Madrid,28002,2,0,0,1,1.0,1.0,1.0,4,,37.0,,10.0,1,2,6,0,12,12,43,0,,,,,,,,0
4.0,,33,4,0,Comunidad de Madrid,28002,2,0,0,7,3.0,3.0,5.0,4,,136.0,90.0,30.0,4,2,1125,10,40,70,158,56,94.0,10.0,9.0,10.0,10.0,9.0,9.0,2
4.0,,58,4,0,Comunidad de Madrid,28016,2,0,0,2,1.0,1.0,1.0,4,,75.0,100.0,30.0,1,2,7,21,51,81,82,2,100.0,10.0,9.0,10.0,10.0,10.0,10.0,1
